cdmTableName,schema,isRequired,conceptPrefix,group_vocab,group_all,group_clinical,group_derived,group_default
person,cdm,TRUE,NA,FALSE,TRUE,TRUE,FALSE,TRUE
observation_period,cdm,TRUE,NA,FALSE,TRUE,TRUE,FALSE,TRUE
visit_occurrence,cdm,FALSE,visit_,FALSE,TRUE,TRUE,FALSE,TRUE
visit_detail,cdm,FALSE,visit_detail_,FALSE,TRUE,TRUE,FALSE,FALSE
condition_occurrence,cdm,FALSE,condition_,FALSE,TRUE,TRUE,FALSE,TRUE
drug_exposure,cdm,FALSE,drug_,FALSE,TRUE,TRUE,FALSE,TRUE
procedure_occurrence,cdm,FALSE,procedure_,FALSE,TRUE,TRUE,FALSE,TRUE
device_exposure,cdm,FALSE,device_,FALSE,TRUE,TRUE,FALSE,FALSE
measurement,cdm,FALSE,measurement_,FALSE,TRUE,TRUE,FALSE,TRUE
observation,cdm,FALSE,observation_,FALSE,TRUE,TRUE,FALSE,TRUE
death,cdm,FALSE,NA,FALSE,TRUE,TRUE,FALSE,TRUE
note,cdm,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE
note_nlp,cdm,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE
specimen,cdm,FALSE,specimen_,FALSE,TRUE,TRUE,FALSE,FALSE
fact_relationship,cdm,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE
location,cdm,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE
care_site,cdm,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE
provider,cdm,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE
payer_plan_period,cdm,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE
cost,cdm,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE
drug_era,cdm,FALSE,NA,FALSE,TRUE,FALSE,TRUE,TRUE
dose_era,cdm,FALSE,NA,FALSE,TRUE,FALSE,TRUE,TRUE
condition_era,cdm,FALSE,NA,FALSE,TRUE,FALSE,TRUE,TRUE
metadata,cdm,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE
cdm_source,cdm,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE
concept,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE
vocabulary,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE
domain,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE
concept_class,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE
concept_relationship,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE
relationship,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE
concept_synonym,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE
concept_ancestor,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE
source_to_concept_map,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE
drug_strength,vocab,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE
cohort_definition,vocab,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE
attribute_definition,vocab,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE
